Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"45.5898, -122.5951",06/05/2020 23:00:00,56,56,56,,,0,0,0,0,0,,9.9,99,73.99,Overcast
"45.5898, -122.5951",06/06/2020 00:00:00,55.9,55.9,55.9,,,0,0,0,3.2,311,,9.9,93.9,69.84,Overcast
"45.5898, -122.5951",06/06/2020 01:00:00,55,55,55,,,0,0,0,0,358,,9.9,72.8,74.56,Partially cloudy
"45.5898, -122.5951",06/06/2020 02:00:00,53.9,53.9,53.9,,,0,0,0,0,0,,9.9,99.5,80.2,Overcast
"45.5898, -122.5951",06/06/2020 03:00:00,53.9,53.9,53.9,,,0,0,0,6.6,137,,9.9,99.3,82.61,Overcast
"45.5898, -122.5951",06/06/2020 04:00:00,53.1,53.1,53.1,,,0,0,0,4.6,158,,9.9,92.9,79.8,Overcast
"45.5898, -122.5951",06/06/2020 05:00:00,53,53,53,,,0,0,0,3.2,117,,9.9,49.8,77.24,Partially cloudy
"45.5898, -122.5951",06/06/2020 06:00:00,53.1,53.1,53.1,,,0,0,0,5.8,199,,9.9,93.7,77.02,Overcast
"45.5898, -122.5951",06/06/2020 07:00:00,54,54,54,,,0,0,0,4.7,200,,9.9,56.4,77.2,Partially cloudy
"45.5898, -122.5951",06/06/2020 08:00:00,53.1,53.1,53.1,,,0,0,0,4.6,200,,9.7,73,79.8,Partially cloudy
"45.5898, -122.5951",06/06/2020 09:00:00,53.1,53.1,53.1,,,0.06,0,0,3.4,216,,9.8,73,85.32,"Rain, Partially cloudy"
"45.5898, -122.5951",06/06/2020 10:00:00,55.2,55.2,55.2,,,0,0,0,4.7,200,,9.9,92.9,78.93,Overcast
"45.5898, -122.5951",06/06/2020 11:00:00,59,59,59,,,0,0,0,11.2,169,,9.9,56.4,71.91,Partially cloudy
"45.5898, -122.5951",06/06/2020 12:00:00,58.9,58.9,58.9,,,0,0,0,12.7,222,17.2,9.9,68.9,64.52,Partially cloudy
"45.5898, -122.5951",06/06/2020 13:00:00,52.1,52.1,52.1,,,0.1,0,0,3.4,210,24.2,6.3,56.4,82.61,"Rain, Partially cloudy"
"45.5898, -122.5951",06/06/2020 14:00:00,56.9,56.9,56.9,,,0.02,0,0,3.3,8,,9.9,56.9,77.22,"Rain, Partially cloudy"
"45.5898, -122.5951",06/06/2020 15:00:00,56,56,56,,,0.09,0,0,4.8,62,,9.9,56.2,79.85,"Rain, Partially cloudy"
"45.5898, -122.5951",06/06/2020 16:00:00,55.1,55.1,55.1,,,0.03,0,0,3.2,194,,6,60.7,79.2,"Rain, Partially cloudy"
"45.5898, -122.5951",06/06/2020 17:00:00,54,54,54,,,0.28,0,0,4.8,148,,3.7,92.2,82.85,"Rain, Overcast"
"45.5898, -122.5951",06/06/2020 18:00:00,53.9,53.9,53.9,,,0.06,0,0,3.5,232,,9.9,60.4,86.08,"Rain, Partially cloudy"
"45.5898, -122.5951",06/06/2020 19:00:00,53.1,53.1,53.1,,,0.09,0,0,6.8,70,,9.9,61.7,85.32,"Rain, Partially cloudy"
"45.5898, -122.5951",06/06/2020 20:00:00,54,54,54,,,0.01,0,0,6.6,88,,9.9,74.3,86.19,"Rain, Partially cloudy"
"45.5898, -122.5951",06/06/2020 21:00:00,54,54,54,,,0,0,0,0,0,,9.9,56.9,82.7,Partially cloudy
"45.5898, -122.5951",06/06/2020 22:00:00,53.1,53.1,53.1,,,0,0,0,5.5,176,,9.9,57.2,82.31,Partially cloudy
"45.5898, -122.5951",06/06/2020 23:00:00,52.1,52.1,52.1,,,0,0,0,6.7,213,17.2,9.9,61.8,85.17,Partially cloudy
"45.5898, -122.5951",06/07/2020 00:00:00,52.1,52.1,52.1,,,0,0,0,4.5,194,,9.9,62.1,82.48,Partially cloudy
"45.5898, -122.5951",06/07/2020 01:00:00,51.2,51.2,51.2,,,0,0,0,0,358,,9.9,56.4,79.14,Partially cloudy
"45.5898, -122.5951",06/07/2020 02:00:00,51.2,51.2,51.2,,,0,0,0,4.5,204,,9.9,62.1,82.29,Partially cloudy
"45.5898, -122.5951",06/07/2020 03:00:00,50,50,50,,,0,0,0,4.7,200,,9.9,93.9,82.49,Overcast
"45.5898, -122.5951",06/07/2020 04:00:00,50,50,50,,,0,0,0,3.2,203,,9.9,60.6,85.89,Partially cloudy
"45.5898, -122.5951",06/07/2020 05:00:00,50,50,50,46.9,,0,0,0,7.7,203,,9.9,61.8,82.64,Partially cloudy
"45.5898, -122.5951",06/07/2020 06:00:00,48.9,48.9,48.9,46.5,,0,0,0,5.8,198,,9.9,56.7,85.98,Partially cloudy
"45.5898, -122.5951",06/07/2020 07:00:00,50,50,50,47.3,,0,0,0,6.8,210,,9.9,57.4,82.5,Partially cloudy
"45.5898, -122.5951",06/07/2020 08:00:00,50,50,50,,,0,0,0,6.9,190,,9.9,56.2,82.47,Partially cloudy
"45.5898, -122.5951",06/07/2020 09:00:00,52.1,52.1,52.1,,,0,0,0,7.8,190,,9.9,68.6,79.84,Partially cloudy
"45.5898, -122.5951",06/07/2020 10:00:00,54,54,54,,,0,0,0,7.9,210,,9.9,88.4,74.5,Overcast
"45.5898, -122.5951",06/07/2020 11:00:00,56,56,56,,,0,0,0,10,190,,9.9,56.1,69.19,Partially cloudy
"45.5898, -122.5951",06/07/2020 12:00:00,56.9,56.9,56.9,,,0,0,0,13.5,230,,9.9,68.5,66.77,Partially cloudy
"45.5898, -122.5951",06/07/2020 13:00:00,58.9,58.9,58.9,,,0,0,0,11.3,211,,9.7,56.1,62.3,Partially cloudy
"45.5898, -122.5951",06/07/2020 14:00:00,57,57,57,,,0.06,0,0,5.8,221,20.8,9.9,56.5,74,"Rain, Partially cloudy"
"45.5898, -122.5951",06/07/2020 15:00:00,59,59,59,,,0,0,0,5.8,279,,9.9,55.8,66.51,Partially cloudy
"45.5898, -122.5951",06/07/2020 16:00:00,61.1,61.1,61.1,,,0.01,0,0,3.5,259,,9.9,57.3,66.56,"Rain, Partially cloudy"
"45.5898, -122.5951",06/07/2020 17:00:00,57.8,57.8,57.8,,,0,0,0,7.9,229,,9.9,88.3,74.93,Overcast
"45.5898, -122.5951",06/07/2020 18:00:00,59,59,59,,,0.2,0,0,4.8,290,,9.9,56.5,75,"Rain, Partially cloudy"
"45.5898, -122.5951",06/07/2020 19:00:00,59,59,59,,,0,0,0,14.8,300,18.3,9.9,55.9,66.55,Partially cloudy
"45.5898, -122.5951",06/07/2020 20:00:00,57.9,57.9,57.9,,,0,0,0,15.8,290,17.2,9.9,57.6,67,Partially cloudy
"45.5898, -122.5951",06/07/2020 21:00:00,56.9,56.9,56.9,,,0,0,0,13.6,299,,9.9,57.6,66.99,Partially cloudy
"45.5898, -122.5951",06/07/2020 22:00:00,55.2,55.2,55.2,,,0,0,0,4.7,280,,9.9,57.6,73.71,Partially cloudy
